i32.add,i32.and,i32.shl,i32.shr_u,i32.xor,i32.add,i32.and,i32.shl,i32.shr_u,i32.xor
343779447,18479758,259947461,6714701,2499416,0.544,0.029,0.412,0.011,0.004
568020000,5040000,460680000,1740000,3780000,0.547,0.005,0.443,0.002,0.004
569913400,5056800,462215600,1745800,3792600,0.547,0.005,0.443,0.002,0.004
568020000,5040000,460680000,1740000,3780000,0.547,0.005,0.443,0.002,0.004
568020000,5040000,460680000,1740000,3780000,0.547,0.005,0.443,0.002,0.004
568020000,5040000,460680000,1740000,3780000,0.547,0.005,0.443,0.002,0.004
568020000,5040000,460680000,1740000,3780000,0.547,0.005,0.443,0.002,0.004
569913400,5056800,462215600,1745800,3792600,0.547,0.005,0.443,0.002,0.004
568020000,5040000,460680000,1740000,3780000,0.547,0.005,0.443,0.002,0.004
568020000,5040000,460680000,1740000,3780000,0.547,0.005,0.443,0.002,0.004
568020000,5040000,460680000,1740000,3780000,0.547,0.005,0.443,0.002,0.004
568020000,5040000,460680000,1740000,3780000,0.547,0.005,0.443,0.002,0.004
569913400,5056800,462215600,1745800,3792600,0.547,0.005,0.443,0.002,0.004
568020000,5040000,460680000,1740000,3780000,0.547,0.005,0.443,0.002,0.004
568020000,5040000,460680000,1740000,3780000,0.547,0.005,0.443,0.002,0.004
568020000,5040000,460680000,1740000,3780000,0.547,0.005,0.443,0.002,0.004
569913400,5056800,462215600,1745800,3792600,0.547,0.005,0.443,0.002,0.004
568020000,5040000,460680000,1740000,3780000,0.547,0.005,0.443,0.002,0.004
568020000,5040000,460680000,1740000,3780000,0.547,0.005,0.443,0.002,0.004
568020000,5040000,460680000,1740000,3780000,0.547,0.005,0.443,0.002,0.004
569913400,5056800,462215600,1745800,3792600,0.547,0.005,0.443,0.002,0.004
569913400,5056800,462215600,1745800,3792600,0.547,0.005,0.443,0.002,0.004
568020000,5040000,460680000,1740000,3780000,0.547,0.005,0.443,0.002,0.004
568020000,5040000,460680000,1740000,3780000,0.547,0.005,0.443,0.002,0.004
568020000,5040000,460680000,1740000,3780000,0.547,0.005,0.443,0.002,0.004
569913400,5056800,462215600,1745800,3792600,0.547,0.005,0.443,0.002,0.004
569913400,5056800,462215600,1745800,3792600,0.547,0.005,0.443,0.002,0.004
568020000,5040000,460680000,1740000,3780000,0.547,0.005,0.443,0.002,0.004
568020000,5040000,460680000,1740000,3780000,0.547,0.005,0.443,0.002,0.004
568020000,5040000,460680000,1740000,3780000,0.547,0.005,0.443,0.002,0.004
569913400,5056800,462215600,1745800,3792600,0.547,0.005,0.443,0.002,0.004
569913400,5056800,462215600,1745800,3792600,0.547,0.005,0.443,0.002,0.004
568020000,5040000,460680000,1740000,3780000,0.547,0.005,0.443,0.002,0.004
568020000,5040000,460680000,1740000,3780000,0.547,0.005,0.443,0.002,0.004
568020000,5040000,460680000,1740000,3780000,0.547,0.005,0.443,0.002,0.004
569913400,5056800,462215600,1745800,3792600,0.547,0.005,0.443,0.002,0.004
568020000,5040000,460680000,1740000,3780000,0.547,0.005,0.443,0.002,0.004
568020000,5040000,460680000,1740000,3780000,0.547,0.005,0.443,0.002,0.004
568020000,5040000,460680000,1740000,3780000,0.547,0.005,0.443,0.002,0.004
568020000,5040000,460680000,1740000,3780000,0.547,0.005,0.443,0.002,0.004
569913400,5056800,462215600,1745800,3792600,0.547,0.005,0.443,0.002,0.004
568020000,5040000,460680000,1740000,3780000,0.547,0.005,0.443,0.002,0.004
568020000,5040000,460680000,1740000,3780000,0.547,0.005,0.443,0.002,0.004
568020000,5040000,460680000,1740000,3780000,0.547,0.005,0.443,0.002,0.004
568020000,5040000,460680000,1740000,3780000,0.547,0.005,0.443,0.002,0.004
569913400,5056800,462215600,1745800,3792600,0.547,0.005,0.443,0.002,0.004
568020000,5040000,460680000,1740000,3780000,0.547,0.005,0.443,0.002,0.004
568020000,5040000,460680000,1740000,3780000,0.547,0.005,0.443,0.002,0.004
568020000,5040000,460680000,1740000,3780000,0.547,0.005,0.443,0.002,0.004
569913400,5056800,462215600,1745800,3792600,0.547,0.005,0.443,0.002,0.004
569913400,5056800,462215600,1745800,3792600,0.547,0.005,0.443,0.002,0.004
568020000,5040000,460680000,1740000,3780000,0.547,0.005,0.443,0.002,0.004
568020000,5040000,460680000,1740000,3780000,0.547,0.005,0.443,0.002,0.004
568020000,5040000,460680000,1740000,3780000,0.547,0.005,0.443,0.002,0.004
569913400,5056800,462215600,1745800,3792600,0.547,0.005,0.443,0.002,0.004
568020000,5040000,460680000,1740000,3780000,0.547,0.005,0.443,0.002,0.004
568020000,5040000,460680000,1740000,3780000,0.547,0.005,0.443,0.002,0.004
568020000,5040000,460680000,1740000,3780000,0.547,0.005,0.443,0.002,0.004
568020000,5040000,460680000,1740000,3780000,0.547,0.005,0.443,0.002,0.004
569913400,5056800,462215600,1745800,3792600,0.547,0.005,0.443,0.002,0.004
568020000,5040000,460680000,1740000,3780000,0.547,0.005,0.443,0.002,0.004
568020000,5040000,460680000,1740000,3780000,0.547,0.005,0.443,0.002,0.004
568020000,5040000,460680000,1740000,3780000,0.547,0.005,0.443,0.002,0.004
569913400,5056800,462215600,1745800,3792600,0.547,0.005,0.443,0.002,0.004
569913400,5056800,462215600,1745800,3792600,0.547,0.005,0.443,0.002,0.004
568020000,5040000,460680000,1740000,3780000,0.547,0.005,0.443,0.002,0.004
568020000,5040000,460680000,1740000,3780000,0.547,0.005,0.443,0.002,0.004
568020000,5040000,460680000,1740000,3780000,0.547,0.005,0.443,0.002,0.004
569913400,5056800,462215600,1745800,3792600,0.547,0.005,0.443,0.002,0.004
568020000,5040000,460680000,1740000,3780000,0.547,0.005,0.443,0.002,0.004
568020000,5040000,460680000,1740000,3780000,0.547,0.005,0.443,0.002,0.004
568020000,5040000,460680000,1740000,3780000,0.547,0.005,0.443,0.002,0.004
568020000,5040000,460680000,1740000,3780000,0.547,0.005,0.443,0.002,0.004
569913400,5056800,462215600,1745800,3792600,0.547,0.005,0.443,0.002,0.004
568020000,5040000,460680000,1740000,3780000,0.547,0.005,0.443,0.002,0.004
568020000,5040000,460680000,1740000,3780000,0.547,0.005,0.443,0.002,0.004
568020000,5040000,460680000,1740000,3780000,0.547,0.005,0.443,0.002,0.004
568020000,5040000,460680000,1740000,3780000,0.547,0.005,0.443,0.002,0.004
569913400,5056800,462215600,1745800,3792600,0.547,0.005,0.443,0.002,0.004
568020000,5040000,460680000,1740000,3780000,0.547,0.005,0.443,0.002,0.004
568020000,5040000,460680000,1740000,3780000,0.547,0.005,0.443,0.002,0.004
568020000,5040000,460680000,1740000,3780000,0.547,0.005,0.443,0.002,0.004
569913400,5056800,462215600,1745800,3792600,0.547,0.005,0.443,0.002,0.004
568020000,5040000,460680000,1740000,3780000,0.547,0.005,0.443,0.002,0.004
568020000,5040000,460680000,1740000,3780000,0.547,0.005,0.443,0.002,0.004
568020000,5040000,460680000,1740000,3780000,0.547,0.005,0.443,0.002,0.004
568020000,5040000,460680000,1740000,3780000,0.547,0.005,0.443,0.002,0.004
569913400,5056800,462215600,1745800,3792600,0.547,0.005,0.443,0.002,0.004
568020000,5040000,460680000,1740000,3780000,0.547,0.005,0.443,0.002,0.004
568020000,5040000,460680000,1740000,3780000,0.547,0.005,0.443,0.002,0.004
568020000,5040000,460680000,1740000,3780000,0.547,0.005,0.443,0.002,0.004
569913400,5056800,462215600,1745800,3792600,0.547,0.005,0.443,0.002,0.004
569913400,5056800,462215600,1745800,3792600,0.547,0.005,0.443,0.002,0.004
568020000,5040000,460680000,1740000,3780000,0.547,0.005,0.443,0.002,0.004
568020000,5040000,460680000,1740000,3780000,0.547,0.005,0.443,0.002,0.004
568020000,5040000,460680000,1740000,3780000,0.547,0.005,0.443,0.002,0.004
569913400,5056800,462215600,1745800,3792600,0.547,0.005,0.443,0.002,0.004
569913400,5056800,462215600,1745800,3792600,0.547,0.005,0.443,0.002,0.004
568020000,5040000,460680000,1740000,3780000,0.547,0.005,0.443,0.002,0.004
568020000,5040000,460680000,1740000,3780000,0.547,0.005,0.443,0.002,0.004
